Preprocessing,Clustering,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
No Data Processing,K-Means,3,0.5509643746707443,560.3660038653594,0.6663912107101494
No Data Processing,K-Means,4,0.4974115445023624,528.1664199842686,0.7544734754523458
No Data Processing,K-Means,5,0.4885175508886279,494.0943819140986,0.8062414921965125
No Data Processing,Hierarchical,3,0.5540972908150553,556.841121636393,0.6566044124178414
No Data Processing,Hierarchical,4,0.4887398491004218,513.7721643772164,0.7956018634867057
No Data Processing,Hierarchical,5,0.4841553526240121,487.07034110928674,0.8206871183525501
No Data Processing,Mean Shift,2,0.6829989771066655,511.230757278961,0.39691909572262196
Using Normalization,K-Means,3,0.48247222154221125,350.06140393380275,0.7874978912757878
Using Normalization,K-Means,4,0.4435001045329514,312.60748462711985,0.9088222678414
Using Normalization,K-Means,5,0.4222535372081206,262.0186879041574,0.9934140496953834
Using Normalization,Hierarchical,3,0.5043490792923953,348.03096141091333,0.7486465474598378
Using Normalization,Hierarchical,4,0.43255652632301644,299.8991893486019,0.8493429237825467
Using Normalization,Hierarchical,5,0.34537101373205314,273.63750324246996,0.910149741107191
Using Normalization,Mean Shift,3,0.4764859649483074,289.5294235977214,0.762216145103352
Using T+N,K-Means,3,0.48247222154221114,350.06140393380275,0.7874978912757878
Using T+N,K-Means,4,0.4435001045329513,312.6074846271197,0.9088222678414004
Using T+N,K-Means,5,0.4222535372081205,262.0186879041572,0.9934140496953837
Using T+N,Hierarchical,3,0.5043490792923953,348.0309614109132,0.7486465474598388
Using T+N,Hierarchical,4,0.43255652632301633,299.89918934860174,0.8493429237825468
Using T+N,Hierarchical,5,0.3453710137320529,273.6375032424699,0.9101497411071916
Using T+N,Mean Shift,3,0.4764859649483075,289.5294235977214,0.7622161451033523
T+N+PCA,K-Means,3,0.5380371873631509,457.77860500176024,0.6534818108879775
T+N+PCA,K-Means,4,0.5268885797270827,449.20514346605984,0.6832849394371547
T+N+PCA,K-Means,5,0.5054607109779181,385.9332516885908,0.7520391860961497
T+N+PCA,Hierarchical,3,0.5534352164215947,422.4503948757923,0.575257185638146
T+N+PCA,Hierarchical,4,0.5104350227829819,427.4107476804095,0.7300198371158735
T+N+PCA,Hierarchical,5,0.4382201568168596,424.55623879001513,0.7668489150401806
T+N+PCA,Mean Shift,4,0.5008979212397332,349.7183415996736,0.7466495909832689
